module_code,phytocore_code,module_name,registry_match,xlsx_axes,md_primary,md_secondary,md_all,xlsx_vs_md,only_in_xlsx,only_in_md,suggested_union,md_file_count,dose,contraindications,needs_review,raw_axis_text
22,Bone Mineralization Support Module,REDCAL,REDCAL,A21;A29;A30,A3;A22;A24;A25;A29;A30;A34,A24;A29,A3;A22;A24;A25;A29;A30;A34,PARTIAL,A21,A3;A22;A24;A25;A34,A3;A21;A22;A24;A25;A29;A30;A34,6,,,,Axis 30 Bone Remodeling Secondary Axis 21 Vascular mineral transport Axis 29 Muscle-bone interface
23,Beta-Glucan Immune Activation Module,IM-1 BETAGLUCAN,IM-1 BETAGLUCAN,A1;A2;A3;A36,,,,XLSX_ONLY(no md),A1;A2;A3;A36,,A1;A2;A3;A36,0,,,,Axis 2 Immune Homeostasis Secondary Axis 3 Pathogen defense Axis 36 Oncology control Axis 1 Inflammation
24,Cordyceps Energy & Circulation Module,TANGCHOU PLUS SANCHI,TANGCHOU PLUS SANCHI,A7;A14;A21;A29,A5;A6;A7;A10;A14;A20,A21;A29,A5;A6;A7;A10;A14;A20;A21;A29,PARTIAL,,A5;A6;A10;A20,A5;A6;A7;A10;A14;A20;A21;A29,6,,,,Axis 7 Mitochondrial Function Secondary Axis 14 Longevity signaling Axis 21 Endothelial function Axis 29 Muscle energy
25,Respiratory Immune Protection Module,VARIZ,VARIZ,A1;A2;A3;A35,A2;A3;A6;A9;A17;A20;A24,A2;A19;A35,A2;A3;A6;A9;A17;A19;A20;A24;A35,PARTIAL,A1,A6;A9;A17;A19;A20;A24,A1;A2;A3;A6;A9;A17;A19;A20;A24;A35,6,,,,Axis 3 Pathogen defense Secondary Axis 1 Inflammation Axis 2 Immune homeostasis Axis 35 Neuro-immune stress
26,Neuro-Metabolic Vitality Module,EDH,EDH,A9;A14;A16;A35,A1;A3;A5;A6;A9;A13,A14;A16,A1;A3;A5;A6;A9;A13;A14;A16,PARTIAL,A35,A1;A3;A5;A6;A13,A1;A3;A5;A6;A9;A13;A14;A16;A35,4,,,,Axis 9 Oxidative Stress Secondary Axis 35 Neuro brain function Axis 16 Detoxification Axis 14 Longevity
27,Brain Cognitive Circulation Module,BRANARA,BRANARA,A9;A21;A35,A35,A9,A9;A35,PARTIAL,A21,,A9;A21;A35,1,,,,Axis 35 Neuro-Sleep-Brain Secondary Axis 21 Circulation Axis 9 Oxidative stress
28,Garlic Cardiometabolic Module,GARLICA,GARLICA,A5;A9;A18;A21,A3;A8;A20;A21,A9;A18,A3;A8;A9;A18;A20;A21,PARTIAL,A5,A3;A8;A20,A3;A5;A8;A9;A18;A20;A21,2,,,,Axis 21 Endothelial function Secondary Axis 5 Metabolic glucose Axis 18 Microbiome Axis 9 Oxidative stress
29,Microbiome Symbiosis Module,RICEZOZYME,RICEZOZYME,A1;A17;A18;A19,A2;A5;A12;A18,A1;A19,A1;A2;A5;A12;A18;A19,PARTIAL,A17,A2;A5;A12,A1;A2;A5;A12;A17;A18;A19,2,,,,Axis 18 Microbiome ecology Secondary Axis 17 Digestive absorption Axis 19 Gut barrier Axis 1 Inflammation
30,Metabolic Weight Control Module,GARCINIA,GARCINIA,A5;A6;A7;A14,A1;A2;A5;A9;A18;A19;A21;A31,A7;A14,A1;A2;A5;A7;A9;A14;A18;A19;A21;A31,PARTIAL,A6,A1;A2;A9;A18;A19;A21;A31,A1;A2;A5;A6;A7;A9;A14;A18;A19;A21;A31,2,,,,Axis 5 Glucose-Insulin Regulation Secondary Axis 6 Lipid Metabolism Axis 7 Mitochondrial energy Axis 14 Longevity
31,Neuro-Endocrine Vitality Module,HO REN YIN MIXTURE,HO REN YIN MIXTURE,A7;A28;A34;A35,A1;A4;A5;A8;A9;A11;A13;A14;A18;A21;A22;A23;A24;A26;A27;A28;A29;A31;A32;A33;A34;A35,A2;A28;A29;A30;A34;A35,A1;A2;A4;A5;A8;A9;A11;A13;A14;A18;A21;A22;A23;A24;A26;A27;A28;A29;A30;A31;A32;A33;A34;A35,PARTIAL,A7,A1;A2;A4;A5;A8;A9;A11;A13;A14;A18;A21;A22;A23;A24;A26;A27;A29;A30;A31;A32;A33,A1;A2;A4;A5;A7;A8;A9;A11;A13;A14;A18;A21;A22;A23;A24;A26;A27;A28;A29;A30;A31;A32;A33;A34;A35,5,,,,Axis 34 Hormone–Endocrine Axis Secondary Axis 7 Mitochondrial Energy Axis 28 Stem Cell / Hematopoiesis Axis 35 Neuro system
32,Anti-Fatigue Longevity Module,ANAX MIXTURE,ANAX MIXTURE,A7;A14;A29,A1;A7;A13;A17;A29,A1;A14;A21;A31;A34,A1;A7;A13;A14;A17;A21;A29;A31;A34,PARTIAL,,A1;A13;A17;A21;A31;A34,A1;A7;A13;A14;A17;A21;A29;A31;A34,3,,,,Axis 7 Mitochondrial Network Secondary Axis 29 Muscle protein turnover Axis 14 Longevity signaling
33,Neuro-Metabolic Restoration Module,TANGTU NGCHOU PLUS 2,TANGTU NGCHOU PLUS 2,A21;A34;A35,A32;A35,A7;A21,A7;A21;A32;A35,PARTIAL,A34,A7;A32,A7;A21;A32;A34;A35,2,,,,Axis 35 Neuro–Brain Axis Secondary Axis 34 Hormone axis Axis 21 Vascular circulation
34,Digestive Healing Module,KERMA,Kerma,A1;A17;A19,A1;A2;A5;A12;A17,A1,A1;A2;A5;A12;A17,PARTIAL,A19,A2;A5;A12,A1;A2;A5;A12;A17;A19,2,,,,Axis 17 Digestive Absorption Secondary Axis 19 Gut barrier Axis 1 Inflammation
35,Antioxidant Longevity Module,RADICA,RADICA,A9;A12;A14,A3;A4;A9;A18,A14;A15,A3;A4;A9;A14;A15;A18,PARTIAL,A12,A3;A4;A15;A18,A3;A4;A9;A12;A14;A15;A18,3,,,,Axis 9 Oxidative Stress Secondary Axis 12 DNA Repair Axis 14 Longevity signaling
36,Female Hormonal Balance Module,FEMOON,Femoon,A1;A14;A32,A5;A15;A16;A20;A32,A1;A14,A1;A5;A14;A15;A16;A20;A32,PARTIAL,,A5;A15;A16;A20,A1;A5;A14;A15;A16;A20;A32,3,,,,Axis 32 Female Hormone Axis Secondary Axis 1 Inflammation Axis 14 Longevity
37,Cardiovascular Longevity Module,IVORA,IVORA,A6;A21;A23,A5;A8;A11;A20;A21,A6;A23,A5;A6;A8;A11;A20;A21;A23,PARTIAL,,A5;A8;A11;A20,A5;A6;A8;A11;A20;A21;A23,3,,,,Axis 21 Endothelial Function Secondary Axis 23 Thrombosis Axis 6 Lipid metabolism
38,Cellular Detoxification Module,VITACEL,VITACEL,A8;A9;A16,A3;A5;A10;A11;A14;A15;A16;A18,A8,A3;A5;A8;A10;A11;A14;A15;A16;A18,PARTIAL,A9,A3;A5;A10;A11;A14;A15;A18,A3;A5;A8;A9;A10;A11;A14;A15;A16;A18,6,,,,Axis 16 Detoxification Secondary Axis 9 Oxidative stress Axis 8 Mitochondria
39,Immune Antiviral Defense Module,KERMA COMPLEX,KERMA COMPLEX,A2;A3;A36,A3,A36,A3;A36,PARTIAL,A2,,A2;A3;A36,1,,,,Axis 3 Pathogen Defense Secondary Axis 2 Immune homeostasis Axis 36 Oncology support
40,Blood & Energy Restoration Module,NOURISHING BLOOD TONIC,Nourishing Blood Tonic Capsule,A7;A21;A28,A1;A9;A21;A22;A25;A27;A28;A31,A14;A21,A1;A9;A14;A21;A22;A25;A27;A28;A31,PARTIAL,A7,A1;A9;A14;A22;A25;A27;A31,A1;A7;A9;A14;A21;A22;A25;A27;A28;A31,5,,,,Axis 28 Hematopoiesis Secondary Axis 7 Mitochondrial energy Axis 21 Circulation
41,Women's Endocrine Renewal Module,TANGTU NGCHOU PLUS 2,TANGTU NGCHOU PLUS 2,A7;A21;A28;A32,A32;A35,A7;A21,A7;A21;A32;A35,PARTIAL,A28,A35,A7;A21;A28;A32;A35,2,,,,Axis 32 Female Hormone Axis Secondary Axis 28 Stem Cell / Hematopoiesis Axis 7 Mitochondrial Energy Axis 21 Circulation
42,Gastrointestinal Mucosal Repair Module,KERMA (Digestive variant),KERMA (Digestive variant),A1;A17;A18;A19,A17,A1;A18,A1;A17;A18,PARTIAL,A19,,A1;A17;A18;A19,1,,,,Axis 17 Digestive–Absorptive Axis Secondary Axis 19 Gut Barrier Axis 1 Inflammation Axis 18 Microbiome
43,Antioxidant Cellular Protection Module,RADICA,RADICA,A9;A12;A14;A15,A3;A4;A9;A18,A14;A15,A3;A4;A9;A14;A15;A18,PARTIAL,A12,A3;A4;A18,A3;A4;A9;A12;A14;A15;A18,3,,,,Axis 9 Oxidative Stress Secondary Axis 12 DNA Repair Axis 14 Longevity signaling Axis 15 Senescence
44,Female Reproductive Vitality Module,FEMOON,Femoon,A1;A14;A32,A5;A15;A16;A20;A32,A1;A14,A1;A5;A14;A15;A16;A20;A32,PARTIAL,,A5;A15;A16;A20,A1;A5;A14;A15;A16;A20;A32,3,,,,Axis 32 Female Hormone Axis Secondary Axis 14 Longevity Axis 1 Inflammation
45,Cardiometabolic Adaptation Module,IVORA,IVORA,A5;A6;A21;A23,A5;A8;A11;A20;A21,A6;A23,A5;A6;A8;A11;A20;A21;A23,PARTIAL,,A8;A11;A20,A5;A6;A8;A11;A20;A21;A23,3,,,,Axis 21 Endothelial Function Secondary Axis 5 Glucose–Insulin Axis Axis 6 Lipid metabolism Axis 23 Thrombosis
46,Cellular Detoxification & Antioxidant Module,VITACEL,VITACEL,A8;A9;A16,A3;A5;A10;A11;A14;A15;A16;A18,A8,A3;A5;A8;A10;A11;A14;A15;A16;A18,PARTIAL,A9,A3;A5;A10;A11;A14;A15;A18,A3;A5;A8;A9;A10;A11;A14;A15;A16;A18,6,,,,Axis 16 Detoxification Axis Secondary Axis 9 Oxidative stress Axis 8 Mitochondria
47,Bone Mineral Density Module,REDCAL,REDCAL,A24;A29;A30,A3;A22;A24;A25;A29;A30;A34,A24;A29,A3;A22;A24;A25;A29;A30;A34,PARTIAL,,A3;A22;A25;A34,A3;A22;A24;A25;A29;A30;A34,6,,,,Axis 30 Bone Remodeling Secondary Axis 29 Musculoskeletal integrity Axis 24 Hemodynamics
48,Immunometabolic Defense Module,IM-1 Beta Glucan,IM-1 Beta Glucan,A1;A2;A3,A2;A4;A5;A18;A19,A1;A36,A1;A2;A4;A5;A18;A19;A36,PARTIAL,A3,A4;A5;A18;A19;A36,A1;A2;A3;A4;A5;A18;A19;A36,4,,,,Axis 2 Immune Homeostasis Secondary Axis 3 Pathogen defense Axis 1 Inflammation
49,Adaptogenic Endurance Module,TANGCHOU PLUS SANCHI,TANGCHOU PLUS SANCHI,A7;A21;A34,A5;A6;A7;A10;A14;A20,A21;A29,A5;A6;A7;A10;A14;A20;A21;A29,PARTIAL,A34,A5;A6;A10;A14;A20;A29,A5;A6;A7;A10;A14;A20;A21;A29;A34,6,,,,Axis 7 Mitochondrial Energy Secondary Axis 34 Hormonal axis Axis 21 Circulation
50,Anti-Allergic Immune Modulation Module,VARIZ,VARIZ,A1;A2;A19,A2;A3;A6;A9;A17;A20;A24,A2;A19;A35,A2;A3;A6;A9;A17;A19;A20;A24;A35,PARTIAL,A1,A3;A6;A9;A17;A20;A24;A35,A1;A2;A3;A6;A9;A17;A19;A20;A24;A35,6,,,,Axis 2 Immune Homeostasis Secondary Axis 1 Inflammation Axis 19 Gut barrier
51,Hematopoietic Restoration Module,Nourishing Blood Capsule,Nourishing Blood Tonic Capsule,A14;A21;A22;A28,A1;A9;A21;A22;A25;A27;A28;A31,A14;A21,A1;A9;A14;A21;A22;A25;A27;A28;A31,PARTIAL,,A1;A9;A25;A27;A31,A1;A9;A14;A21;A22;A25;A27;A28;A31,5,,,,Axis 28 — Hematopoiesis Secondary Axis 22 Microcirculation Axis 21 Endothelial Axis 14 Longevity
52,Colon Detoxification Module,Cathartic Capsule,Cathartic Capsule,A16;A18;A19;A20,A16;A17;A18;A20;A33,A16;A19,A16;A17;A18;A19;A20;A33,PARTIAL,,A17;A33,A16;A17;A18;A19;A20;A33,3,,,,Axis 20 — Colon Biofilm & Toxic Burden Secondary Axis 18 Microbiome Axis 16 Detoxification Axis 19 Gut Barrier
53,Gastrointestinal Motility Module,Yaventa Capsule,Yaventa Capsule,A17;A18;A19,,,,XLSX_ONLY(no md),A17;A18;A19,,A17;A18;A19,0,,,,Axis 17 — Digestive Absorptive Axis Secondary Axis 19 Gut barrier Axis 18 Microbiome
54,Hepatobiliary Detox Module,Cinnara Capsule,CINNARA Capsule,A5;A6;A16,A2;A4;A9;A16;A17;A18;A25;A33,A1;A5;A18;A35,A1;A2;A4;A5;A9;A16;A17;A18;A25;A33;A35,PARTIAL,A6,A1;A2;A4;A9;A17;A18;A25;A33;A35,A1;A2;A4;A5;A6;A9;A16;A17;A18;A25;A33;A35,4,,,,Axis 16 Detoxification Secondary Axis 6 Lipid metabolism Axis 5 Glucose metabolism
55,Vascular Anti-Inflammatory Module,Yhateennok Capsule,Yhateennok Capsule,A1;A9;A21,A21,A1,A1;A21,PARTIAL,A9,,A1;A9;A21,2,,,,Axis 21 Endothelial Function Secondary Axis 9 Oxidative stress Axis 1 Inflammation
56,Gastric Repair Module,Stomma Capsule,STOMMA CAPSULE,A1;A17;A19,A1;A9;A16;A17;A18;A19,A1,A1;A9;A16;A17;A18;A19,PARTIAL,,A9;A16;A18,A1;A9;A16;A17;A18;A19,4,,,,Axis 17 Digestive Function Secondary Axis 19 Gut barrier Axis 1 Inflammation
57,Hemorrhoid & Vascular Repair Module,RID-SI Capsule,RID-SI CAPSULE,A21;A24;A25,A1;A9;A21;A22;A24;A25;A26;A31,A25,A1;A9;A21;A22;A24;A25;A26;A31,PARTIAL,,A1;A9;A22;A26;A31,A1;A9;A21;A22;A24;A25;A26;A31,5,,,,Axis 24 Hemodynamics Secondary Axis 21 Endothelial Axis 25 Tissue repair
58,Intestinal Clearance Module,B-LAX Capsule,B-LAX CAPSULE,A16;A18;A20,A16;A17;A18;A20;A22;A33;A35,A16,A16;A17;A18;A20;A22;A33;A35,PARTIAL,,A17;A22;A33;A35,A16;A17;A18;A20;A22;A33;A35,4,,,,Axis 20 Colon Biofilm Secondary Axis 18 Microbiome Axis 16 Detoxification
59,Systemic Rejuvenation Module,AM-PUR Herbal Tonic,AM-PUR MIXTURE,A2;A8;A14,A5;A7;A8;A9;A11;A14;A15;A18;A21;A23;A24;A26;A28;A29;A31;A32;A33;A35,A2;A8;A21;A29;A30;A34,A2;A5;A7;A8;A9;A11;A14;A15;A18;A21;A23;A24;A26;A28;A29;A30;A31;A32;A33;A34;A35,PARTIAL,,A5;A7;A9;A11;A15;A18;A21;A23;A24;A26;A28;A29;A30;A31;A32;A33;A34;A35,A2;A5;A7;A8;A9;A11;A14;A15;A18;A21;A23;A24;A26;A28;A29;A30;A31;A32;A33;A34;A35,5,,,,Axis 14 Longevity Signaling Secondary Axis 2 Immune homeostasis Axis 8 Mitochondria
60,Male Hormonal Vitality Module,Butea Superba Capsule,BUTEA SUPERBA CAPSULE,A7;A21;A33,A9;A21;A22;A27;A30;A33;A35,A7,A7;A9;A21;A22;A27;A30;A33;A35,PARTIAL,,A9;A22;A27;A30;A35,A7;A9;A21;A22;A27;A30;A33;A35,3,,,,Axis 33 Male Hormonal Axis Secondary Axis 21 Endothelial Axis 7 Nutrient sensing
61,Hematopoietic Restoration Module,Nourishing Blood Capsule,Nourishing Blood Tonic Capsule,A14;A21;A22;A28,A1;A9;A21;A22;A25;A27;A28;A31,A14;A21,A1;A9;A14;A21;A22;A25;A27;A28;A31,PARTIAL,,A1;A9;A25;A27;A31,A1;A9;A14;A21;A22;A25;A27;A28;A31,5,,,,Axis 28 — Hematopoiesis Secondary Axis 22 Microcirculation Axis 21 Endothelial Axis 14 Longevity
62,Colon Detoxification Module,Cathartic Capsule,Cathartic Capsule,A16;A18;A19;A20,A16;A17;A18;A20;A33,A16;A19,A16;A17;A18;A19;A20;A33,PARTIAL,,A17;A33,A16;A17;A18;A19;A20;A33,3,,,,Axis 20 — Colon Biofilm & Toxic Burden Secondary Axis 18 Microbiome Axis 16 Detoxification Axis 19 Gut Barrier
63,Gastrointestinal Motility Module,Yaventa Capsule,Yaventa Capsule,A17;A18;A19,,,,XLSX_ONLY(no md),A17;A18;A19,,A17;A18;A19,0,,,,Axis 17 — Digestive Absorptive Axis Secondary Axis 19 Gut barrier Axis 18 Microbiome
64,Hepatobiliary Detox Module,Cinnara Capsule,CINNARA Capsule,A5;A6;A16,A2;A4;A9;A16;A17;A18;A25;A33,A1;A5;A18;A35,A1;A2;A4;A5;A9;A16;A17;A18;A25;A33;A35,PARTIAL,A6,A1;A2;A4;A9;A17;A18;A25;A33;A35,A1;A2;A4;A5;A6;A9;A16;A17;A18;A25;A33;A35,4,,,,Axis 16 Detoxification Secondary Axis 6 Lipid metabolism Axis 5 Glucose metabolism
65,Vascular Anti-Inflammatory Module,Yhateennok Capsule,Yhateennok Capsule,A1;A9;A21,A21,A1,A1;A21,PARTIAL,A9,,A1;A9;A21,2,,,,Axis 21 Endothelial Function Secondary Axis 9 Oxidative stress Axis 1 Inflammation
66,Gastric Repair Module,Stomma Capsule,STOMMA CAPSULE,A1;A17;A19,A1;A9;A16;A17;A18;A19,A1,A1;A9;A16;A17;A18;A19,PARTIAL,,A9;A16;A18,A1;A9;A16;A17;A18;A19,4,,,,Axis 17 Digestive Function Secondary Axis 19 Gut barrier Axis 1 Inflammation
67,Hemorrhoid & Vascular Repair Module,RID-SI Capsule,RID-SI CAPSULE,A21;A24;A25,A1;A9;A21;A22;A24;A25;A26;A31,A25,A1;A9;A21;A22;A24;A25;A26;A31,PARTIAL,,A1;A9;A22;A26;A31,A1;A9;A21;A22;A24;A25;A26;A31,5,,,,Axis 24 Hemodynamics Secondary Axis 21 Endothelial Axis 25 Tissue repair
68,Intestinal Clearance Module,B-LAX Capsule,B-LAX CAPSULE,A16;A18;A20,A16;A17;A18;A20;A22;A33;A35,A16,A16;A17;A18;A20;A22;A33;A35,PARTIAL,,A17;A22;A33;A35,A16;A17;A18;A20;A22;A33;A35,4,,,,Axis 20 Colon Biofilm Secondary Axis 18 Microbiome Axis 16 Detoxification
69,Systemic Rejuvenation Module,AM-PUR Herbal Tonic,AM-PUR MIXTURE,A2;A8;A14,A5;A7;A8;A9;A11;A14;A15;A18;A21;A23;A24;A26;A28;A29;A31;A32;A33;A35,A2;A8;A21;A29;A30;A34,A2;A5;A7;A8;A9;A11;A14;A15;A18;A21;A23;A24;A26;A28;A29;A30;A31;A32;A33;A34;A35,PARTIAL,,A5;A7;A9;A11;A15;A18;A21;A23;A24;A26;A28;A29;A30;A31;A32;A33;A34;A35,A2;A5;A7;A8;A9;A11;A14;A15;A18;A21;A23;A24;A26;A28;A29;A30;A31;A32;A33;A34;A35,5,,,,Axis 14 Longevity Signaling Secondary Axis 2 Immune homeostasis Axis 8 Mitochondria
70,Male Hormonal Vitality Module,Butea Superba Capsule,BUTEA SUPERBA CAPSULE,A7;A21;A33,A9;A21;A22;A27;A30;A33;A35,A7,A7;A9;A21;A22;A27;A30;A33;A35,PARTIAL,,A9;A22;A27;A30;A35,A7;A9;A21;A22;A27;A30;A33;A35,3,,,,Axis 33 Male Hormonal Axis Secondary Axis 21 Endothelial Axis 7 Nutrient sensing
71,Cardiovascular Lipid Balance Module,FlaxPro,FlaxPro,A5;A6;A9;A11,A3;A5;A6;A9;A10;A11;A20,,A3;A5;A6;A9;A10;A11;A20,PARTIAL,,A3;A10;A20,A3;A5;A6;A9;A10;A11;A20,2,,,,Axis 9 Vascular Integrity Axis 11 Lipid Metabolism Axis 5 Oxidative Stress Axis 6 Inflammation
72,Metabolic Reset Module,Luce,Luce,A2;A5;A11;A12,A2;A5;A11;A12,,A2;A5;A11;A12,AGREE,,,A2;A5;A11;A12,1,,,,Axis 12 Glucose Metabolism Axis 11 Lipid Metabolism Axis 5 Oxidative Stress Axis 2 Microbiome
73,Prostate Support Module,Topaz,Topaz,A5;A6;A25,A5;A6;A25,,A5;A6;A25,AGREE,,,A5;A6;A25,1,,,,Axis 25 Hormone Regulation Axis 6 Inflammation Axis 5 Oxidative Stress
74,Neuro-Cognitive Module,Focuz,Focuz,A9;A30;A33,A9;A30;A33,,A9;A30;A33,AGREE,,,A9;A30;A33,1,,,,Axis 30 Brain Neuroplasticity Axis 33 Neuro Sleep Brain Axis 9 Vascular Integrity
75,Digestive Repair Module,XS,XS,A2;A3;A4,A2;A3;A4,,A2;A3;A4,AGREE,,,A2;A3;A4,1,,,,Axis 2 Microbiome Axis 3 Digestive Function Axis 4 Detoxification
76,Circulation Module,Tangchou Plus Sanchi,TANGCHOU PLUS SANCHI,A6;A10;A14,A5;A6;A7;A10;A14;A20,A21;A29,A5;A6;A7;A10;A14;A20;A21;A29,PARTIAL,,A5;A7;A20;A21;A29,A5;A6;A7;A10;A14;A20;A21;A29,6,,,,Axis 10 Circulation Axis 14 Mitochondria Axis 6 Inflammation
77,Venous Circulation Module,Variz,VARIZ,A6;A9,A2;A3;A6;A9;A17;A20;A24,A2;A19;A35,A2;A3;A6;A9;A17;A19;A20;A24;A35,PARTIAL,,A2;A3;A17;A19;A20;A24;A35,A2;A3;A6;A9;A17;A19;A20;A24;A35,6,,,,Axis 9 Vascular Integrity Axis 6 Inflammation
78,Cellular Regeneration Module,Vitacel,VITACEL,A5;A14;A15,A3;A5;A10;A11;A14;A15;A16;A18,A8,A3;A5;A8;A10;A11;A14;A15;A16;A18,PARTIAL,,A3;A8;A10;A11;A16;A18,A3;A5;A8;A10;A11;A14;A15;A16;A18,6,,,,Axis 5 Oxidative Stress Axis 15 DNA repair Axis 14 Mitochondria
79,Bone Mineralization Module,RedCal,REDCAL,A24;A34,A3;A22;A24;A25;A29;A30;A34,A24;A29,A3;A22;A24;A25;A29;A30;A34,PARTIAL,,A3;A22;A25;A29;A30,A3;A22;A24;A25;A29;A30;A34,6,,,,Axis 34 Musculoskeletal Axis 24 Mineral metabolism
80,Immune Defense Module,IM-1,IM-1,A1;A6;A32,A1;A2;A3;A4;A5;A6;A7;A8;A9;A10;A11;A12;A13;A14;A20;A22;A23;A24;A25;A26;A27;A32;A36,,A1;A2;A3;A4;A5;A6;A7;A8;A9;A10;A11;A12;A13;A14;A20;A22;A23;A24;A25;A26;A27;A32;A36,PARTIAL,,A2;A3;A4;A5;A7;A8;A9;A10;A11;A12;A13;A14;A20;A22;A23;A24;A25;A26;A27;A36,A1;A2;A3;A4;A5;A6;A7;A8;A9;A10;A11;A12;A13;A14;A20;A22;A23;A24;A25;A26;A27;A32;A36,2,,,,Axis 1 Immune System Axis 6 Inflammation Axis 32 Infection Defense
81,Metabolic Restoration Module,DB-1,DB-1,A5;A8;A9;A11,A5;A8;A9;A11,,A5;A8;A9;A11,AGREE,,,A5;A8;A9;A11,2,,,,Axis 8 Glucose Metabolism Axis 9 Insulin Signaling Axis 11 Mitochondrial Function Axis 5 Inflammation Control
82,Neuro-Respiratory Support Module,NARIS,NARIS,A4;A5;A6;A12,A4;A5;A6;A12;A21,,A4;A5;A6;A12;A21,PARTIAL,,A21,A4;A5;A6;A12;A21,2,,,,Axis 4 Immune System Axis 6 Viral Defense Axis 12 Lung Function Axis 5 Inflammation
83,Immune Longevity Module,Reishimuno,Reishimuno,A3;A4;A11;A18,A3;A4;A5;A11;A18;A19,,A3;A4;A5;A11;A18;A19,PARTIAL,,A5;A19,A3;A4;A5;A11;A18;A19,3,,,,Axis 4 Immune System Axis 11 Mitochondria Axis 3 Oxidative Stress Axis 18 Aging Biology
84,Cellular Repair Module,IM-5,IM-5,A3;A5;A7;A14,A3;A5;A7;A8;A9;A14,,A3;A5;A7;A8;A9;A14,PARTIAL,,A8;A9,A3;A5;A7;A8;A9;A14,3,,,,Axis 3 Oxidative Stress Axis 7 Tissue Repair Axis 14 Skin Integrity Axis 5 Inflammation
85,Hepatic Detox Module,HEPA-1,HEPA-1,A1;A3;A5;A13,A1;A3;A5;A13,,A1;A3;A5;A13,AGREE,,,A1;A3;A5;A13,3,,,,Axis 1 Detoxification Axis 13 Liver Function Axis 5 Inflammation Axis 3 Oxidative Stress
86,Cardiovascular Protection Module,HP-1,HP-1,A3;A5;A20;A21,A3;A5;A6;A20;A21,,A3;A5;A6;A20;A21,PARTIAL,,A6,A3;A5;A6;A20;A21,3,,,,Axis 20 Cardiovascular Function Axis 21 Endothelial Health Axis 5 Inflammation Axis 3 Oxidative Stress
87,Immune Activation Module,Beta-V,Beta-V,A3;A4;A6;A18,A3;A4;A5;A6;A18;A19;A21,,A3;A4;A5;A6;A18;A19;A21,PARTIAL,,A5;A19;A21,A3;A4;A5;A6;A18;A19;A21,3,,,,Axis 4 Immune System Axis 6 Viral Defense Axis 18 Longevity Axis 3 Oxidative Stress
88,Longevity Regeneration Module,REVITA,Revita,A3;A4;A11;A18,A3;A4;A10;A11;A18,,A3;A4;A10;A11;A18,PARTIAL,,A10,A3;A4;A10;A11;A18,3,,,,Axis 11 Mitochondrial Function Axis 18 Longevity Axis 4 Immune System Axis 3 Oxidative Stress
89,Microbiome Regeneration Module,IMO,IMO,A1;A2;A4;A8;A36;A38;A39,A1;A2;A4;A5;A8;A12;A15;A16;A36;A38;A39,,A1;A2;A4;A5;A8;A12;A15;A16;A36;A38;A39,PARTIAL,,A5;A12;A15;A16,A1;A2;A4;A5;A8;A12;A15;A16;A36;A38;A39,4,,,,Axis 2 Microbiome Axis 4 Immune System       Axis 1 Detoxification                                              Axis 8 Metabolic Balance                                 Axis 36: Oncology                                        AXIS 37 Protein Quality Control System Axis    Axis 38Protein Clearance & 
90,Omega Anti-Inflammatory Module,FLAXPRO,FlaxPro,A3;A5;A10;A20,A3;A5;A6;A9;A10;A11;A20,,A3;A5;A6;A9;A10;A11;A20,PARTIAL,,A6;A9;A11,A3;A5;A6;A9;A10;A11;A20,2,,,,Axis 5 Inflammation Axis 20 Cardiovascular System Axis 3 Oxidative Stress Axis 10 Neural Protection
91,Vital Energy Module,Tangtungchou Plus I,Tangtungchou Plus I,A4;A11;A18;A20,A4;A11;A18;A20,,A4;A11;A18;A20,AGREE,,,A4;A11;A18;A20,1,,,,Axis 11 Mitochondrial Function Axis 4 Immune System Axis 20 Cardiovascular System Axis 18 Longevity Biology
92,Neuro-Endocrine Restoration Module,Tangtungchou Plus II,Tangtungchou Plus II,A10;A11;A15;A18,A10;A11;A15;A18,,A10;A11;A15;A18,AGREE,,,A10;A11;A15;A18,1,,,,Axis 10 Nervous System Axis 15 Hormonal Regulation Axis 11 Mitochondria Axis 18 Longevity
93,Digestive Microbiome Repair Module,Kerma,Kerma,A1;A2;A5;A12,A1;A2;A5;A12;A17,A1,A1;A2;A5;A12;A17,PARTIAL,,A17,A1;A2;A5;A12;A17,2,,,,Axis 2 Microbiome Axis 12 Digestive System Axis 5 Inflammation Axis 1 Detoxification
94,Antioxidant Longevity Module,Radica,RADICA,A3;A4;A18,A3;A4;A9;A18,A14;A15,A3;A4;A9;A14;A15;A18,PARTIAL,,A9;A14;A15,A3;A4;A9;A14;A15;A18,3,,,,Axis 3 Oxidative Stress Axis 18 Longevity Axis 4 Immune System
95,Female Hormonal Balance Module,Femoon,Femoon,A5;A15;A16;A20,A5;A15;A16;A20;A32,A1;A14,A1;A5;A14;A15;A16;A20;A32,PARTIAL,,A1;A14;A32,A1;A5;A14;A15;A16;A20;A32,3,,,,Axis 15 Hormonal Regulation Axis 16 Reproductive System Axis 20 Circulation Axis 5 Inflammation
96,Cardiometabolic Protection Module,Ivora,IVORA,A5;A8;A11;A20,A5;A8;A11;A20;A21,A6;A23,A5;A6;A8;A11;A20;A21;A23,PARTIAL,,A6;A21;A23,A5;A6;A8;A11;A20;A21;A23,3,,,,Axis 20 Cardiovascular Axis 8 Metabolic Regulation Axis 5 Inflammation Axis 11 Mitochondria
